id_escola;Escola;Serie;Alunos em que foram implantados;Alunos que responderam exercício;Engajamento;Vídeos assistidos;Questões respondidas;Questões corretas (Português - %);Questões corretas (Matemática - %);Distrito
13;E.M. ALMERON CAMINHA MONTEIRO;5;101;98;97,03;2263;28854;58,58;51,86;DDZ CENTRO-SUL
15;E.M. DEPUTADO ULISSES GUIMARAES;5;69;33;47,83;338;2040;66,48;60,43;DDZ CENTRO-SUL
16;E.M. DOUTOR RAIMUNDO NONATO MAGALHAES CORDEIRO;5;69;23;33,33;139;925;64,81;57,24;DDZ CENTRO-SUL
18;E.M. PROF.ª SULAMITA PEREIRA GONCALVES;5;81;36;44,44;199;1001;80,21;69,45;DDZ CENTRO-SUL
20;E.M. SENADOR DARCY RIBEIRO;5;124;53;42,74;413;2998;65,72;62,55;DDZ CENTRO-SUL
14;E.M. ANTISTHENES DE OLIVEIRA PINTO;9;195;28;14,36;88;430;84,08;58,08;DDZ CENTRO-SUL
15;E.M. DEPUTADO ULISSES GUIMARAES;9;80;15;18,75;27;416;62,12;68,29;DDZ CENTRO-SUL
16;E.M. DOUTOR RAIMUNDO NONATO MAGALHAES CORDEIRO;9;205;23;11,22;112;494;68,66;57,76;DDZ CENTRO-SUL
17;E.M. OLGA FIGUEIREDO;9;191;26;13,61;151;707;57,06;53,26;DDZ CENTRO-SUL
19;E.M. SAO BENEDITO;9;70;39;55,71;309;1915;74,05;71,19;DDZ CENTRO-SUL
26;E.M. HEMETERIO CABRINHA;5;56;39;69,64;471;2179;76,46;69,54;DDZ LESTE I
27;E.M. HONORINA DE AZEVEDO VASCONCELOS;5;116;54;46,55;328;2848;69,79;60,09;DDZ LESTE I
28;E.M. MARIA DO CARMO REBELLO DE SOUZA;5;95;69;72,63;321;3628;63,41;69,14;DDZ LESTE I
21;E.M. ANA MARIA DE SOUZA BARROS;9;210;1;0,48;0;15;40,0;0;DDZ LESTE I
22;E.M. ANTONINA BORGES DE SA;9;282;88;31,21;365;2226;76,65;63,3;DDZ LESTE I
23;E.M. ARISTOTELES COMTE DE ALENCAR;9;156;12;7,69;52;210;71,64;53,85;DDZ LESTE I
24;E.M. ETELVINA PEREIRA BRAGA;9;95;19;20,0;79;366;76,03;58,64;DDZ LESTE I
25;E.M. FRANCISCO GUEDES DE QUEIROZ;9;147;20;13,61;93;599;77,63;65,58;DDZ LESTE I
29;E.M. GOVERNADOR DANILO DE MATOS AREOSA;5;172;53;30,81;375;1658;60,74;57,25;DDZ LESTE II
32;E.M. PROF. ALVARO VALLE;5;123;69;56,1;741;4014;66,49;62,42;DDZ LESTE II
30;E.M. GOVERNADOR PLINIO RAMOS COELHO;9;116;26;22,41;89;908;63,19;54,86;DDZ LESTE II
31;E.M. MADRE TEREZA DE CALCUTA;9;191;33;17,28;251;1185;74,93;65,4;DDZ LESTE II
33;E.M. PROF.ª MARIA AUXILIADORA S. AZEVEDO;9;195;67;34,36;397;2891;64,25;59,72;DDZ LESTE II
54;E.M. SAO SEBASTIAO II;9;7;0;0,0;0;0;0;0;DDZ LESTE II
34;E.M. VICENTE MENDONCA JUNIOR;9;320;45;14,06;155;808;66,49;60,05;DDZ LESTE II
35;E.M. ANA SENA RODRIGUES;5;72;29;40,28;149;2489;66,59;62,67;DDZ NORTE
36;E.M. CARMEM GUIMARAES HAGGE;5;81;35;43,21;200;1916;77,6;69,27;DDZ NORTE
37;E.M. DOM MILTON CORREA PEREIRA;5;160;104;65,0;658;7125;64,05;57,74;DDZ NORTE
38;E.M. ENGENHEIRO JOAO ALBERTO MENEZES BRAGA;5;135;53;39,26;531;3038;70,4;59,22;DDZ NORTE
39;E.M. LUCILA FREITAS;5;74;24;32,43;168;987;75,66;67,65;DDZ NORTE
40;E.M. NINA DE ARAUJO COSTA LINS;5;136;43;31,62;444;2623;74,55;66,3;DDZ NORTE
41;E.M. OLGA GUTMANN BENARIO;5;112;62;55,36;873;3592;65,6;64,41;DDZ NORTE
42;E.M. PRESIDENTE JOAO GOULART;5;155;132;85,16;636;15217;69,23;68,97;DDZ NORTE
43;E.M. PROF. CARLOS FARIAS OURO DE CARVALHO;5;132;45;34,09;359;1267;50,0;50,19;DDZ NORTE
44;E.M. PROF. SERGIO AUGUSTO PARA BITTENCOURT;5;105;46;43,81;255;2526;65,3;62,9;DDZ NORTE
45;E.M. SARA BARROSO CORDEIRO;5;140;83;59,29;1760;6809;60,17;53,76;DDZ NORTE
35;E.M. ANA SENA RODRIGUES;9;62;9;14,52;18;95;73,13;28,57;DDZ NORTE
38;E.M. ENGENHEIRO JOAO ALBERTO MENEZES BRAGA;9;160;119;74,38;571;3319;62,1;55,05;DDZ NORTE
39;E.M. LUCILA FREITAS;9;54;4;7,41;9;65;48,39;70,59;DDZ NORTE
40;E.M. NINA DE ARAUJO COSTA LINS;9;119;91;76,47;627;17096;80,39;67,37;DDZ NORTE
44;E.M. PROF. SERGIO AUGUSTO PARA BITTENCOURT;9;116;5;4,31;17;54;80,56;50,0;DDZ NORTE
47;E.M. PROF. JOAQUIM GONZAGA PINHEIRO;5;63;11;17,46;85;328;67,37;56,22;DDZ OESTE
49;E.M. SAO PEDRO;5;42;10;23,81;20;460;73,38;69,04;DDZ OESTE
51;E.M. TEREZINHA MOURA BRASIL;5;59;37;62,71;363;2078;64,67;60,52;DDZ OESTE
52;ESC. MUL. NOSSA SENHORA DE FATIMA;5;108;68;62,96;557;5149;72,74;67,48;DDZ OESTE
46;E.M. MARECHAL CANDIDO RONDON;9;72;31;43,06;221;1259;76,15;53,88;DDZ OESTE
47;E.M. PROF. JOAQUIM GONZAGA PINHEIRO;9;63;10;15,87;26;213;66,67;55,38;DDZ OESTE
48;E.M. RODOLPHO VALLE;9;184;33;17,93;186;763;68,74;56,85;DDZ OESTE
49;E.M. SAO PEDRO;9;82;10;12,2;29;187;81,58;69,37;DDZ OESTE
50;E.M. SENADOR FABIO PEREIRA DE LUCENA BITTENCOURT;9;187;20;10,7;47;259;76,98;57,89;DDZ OESTE
51;E.M. TEREZINHA MOURA BRASIL;9;62;34;54,84;222;1619;71,79;60,05;DDZ OESTE
53;E.M. PROF.ª FRANCISCA CAMPOS CORREA;5;40;10;25,0;39;193;65,0;65,59;DDZ RURAL
53;E.M. PROF.ª FRANCISCA CAMPOS CORREA;9;45;3;6,67;35;58;0;65,52;DDZ RURAL
55;E.M. AMINE DAOU LINDOSO;5;133;72;54,14;524;4590;73,78;66,17;DDZ SUL
56;E.M. DR. SERGIO ALFREDO PESSOA FIGUEIREDO;5;31;29;93,55;602;5139;58,56;67,0;DDZ SUL
57;E.M. GRAZIELA RIBEIRO;5;25;22;88,0;382;2952;61,49;57,81;DDZ SUL
58;E.M. HAHNEMANN BACELAR;5;117;115;98,29;622;6650;70,39;71,25;DDZ SUL
59;E.M. JOAQUIM DA SILVA PINTO;5;98;86;87,76;265;8494;62,35;62,76;DDZ SUL
60;E.M. NAZIRA CHAMMA DAOU;5;96;23;23,96;412;1692;76,18;68,43;DDZ SUL
12;E.M. ANA MOTA BRAGA;9;103;60;58,25;319;2044;69,67;60,19;DDZ SUL
57;E.M. GRAZIELA RIBEIRO;9;49;12;24,49;38;373;71,43;65,35;DDZ SUL
61;E.M. PROF.ª FRANCISCA PEREIRA DE ARAUJO;9;122;114;93,44;845;9598;72,14;68,79;DDZ SUL
62;E.M. VICENTE DE PAULA;9;224;30;13,39;214;932;71,77;66,37;DDZ SUL
64;E.M.E.B. PROFª. MARIA APARECIDA DOS SANTOS FRANCO;9;120;107;89,17;3422;26136;74,6;74,26;Riolândia
